Country,Admin1,SubDiv,Year,List,Cause,Sex,Frmat,IM_Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
1430,,,2000,103,R22,1,0,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
4084,,,1999,103,K35,2,1,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,
1125,,,2001,103,A86,1,2,8,188,39.0,24.0,,,,13.0,11.0,9.0,8.0,7.0,5.0,5.0,12.0,6.0,10.0,6.0,11.0,5.0,5.0,6.0,3.0,3.0,,,0.0,39.0,,,
4273,,,2004,103,C72,1,0,1,11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125,,,2003,103,P57,2,2,8,1,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,
1430,,,1996,103,Y19,1,0,1,84,2.0,0.0,2.0,0.0,2.0,4.0,4.0,6.0,12.0,11.0,9.0,8.0,5.0,5.0,3.0,4.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
4260,,,2004,103,C60,1,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
3020,,,2003,103,C71,2,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
1430,,,2002,103,D48,2,0,8,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,1.0,6.0,5.0,6.0,5.0,7.0,2.0,6.0,8.0,6.0,4.0,3.0,1.0,0.0,0.0,0.0,,,
1430,,,1999,103,J18,2,0,8,8991,1.0,255.0,81.0,51.0,39.0,73.0,77.0,208.0,634.0,1110.0,1090.0,900.0,529.0,452.0,293.0,291.0,321.0,379.0,391.0,440.0,553.0,426.0,222.0,113.0,62.0,1.0,,,
4186,,,2004,103,W78,1,1,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
3325,,,2000,103,K22,1,0,2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
4186,,,2000,103,N04,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
3370,,,1999,101,1095,2,2,8,828,13.0,146.0,,,,89.0,48.0,59.0,54.0,48.0,51.0,45.0,34.0,31.0,23.0,25.0,38.0,35.0,31.0,19.0,14.0,25.0,,,0.0,13.0,,,
